"log2fc","pvalue","fdr","labels"
-0.862303723353524,0.00851222902770329,0.0223808291585894,"A1BG"
-0.0480478916562608,0.822583072293208,0.866752093862963,"ADA"
3.14096341702714,1.85119926495673e-09,1.86012070719749e-07,"CDH2"
-0.0931937268601528,0.639839693255609,0.716806104070357,"AKT3"
-1.11948963976089,0.145410416998347,0.219556961666735,"TRF-GAA2-1"
-0.211974559072418,0.28653218894523,0.379494752390538,"ZBTB11-AS1"
1.29422553696041,3.73725186412601e-06,4.67647119982159e-05,"MED6"
0.714973968412865,0.148717584292907,0.223518589476094,"NR2E3"
1.31663223029018,0.000397027536029885,0.00195351601798775,"NAALAD2"
0.164304406323614,0.629287514666063,0.707846856903443,"PDZK1P1"
-0.565475806189102,0.0286183464316937,0.0592324132622721,"DDTL"
-1.94580963182873,0.0183214570205662,0.0411252729246459,"NAALADL1"
-1.02758792396173,0.00418144830866283,0.012678887072986,"CDKN2B-AS1"
-0.60540489746923,0.153088447402631,0.228953223587903,"GUSBP17"
-1.09130131623856,0.213542459301113,0.300207466678752,"SIGLEC14"
-2.99633928072416,0.00260639177750621,0.00867583613027412,"TRV-CAC1-5"
0.673287519591219,0.387794500667196,0.482789391784508,"NINJ2-AS1"
-0.806462845452976,0.00204487360088397,0.00715813046437453,"ACOT8"
0.620733309369697,0.00056641576455298,0.00258560890879686,"ABI1"
-0.142169394151902,0.407079927414779,0.501409923887056,"GNPDA1"
1.56777970302945,3.83113477278093e-07,7.89905166996118e-06,"ZBTB33"
-1.29529311600184,0.000120416462404859,0.000753393320672561,"SNHG8"
1.0611874651372,7.03285868759826e-05,0.000491651646727322,"GTF2IP4"
0.963271531817005,0.000284284322017753,0.00149068295858413,"CDH3"
-0.1866107730839,0.303277458684164,0.397475289608852,"TANK"
-1.48526619791519,0.0030102171752742,0.00974202997353,"FKBP6P1"
-0.318829863257652,0.244924069081701,0.335055644409315,"POM121C"
-0.668117034958211,0.0812760679354941,0.136979368815201,"PMS2P7"
0.335677571743044,0.0347728397939925,0.0689340346759918,"ZSCAN30"
-1.22075333429184,0.00775142380731689,0.020770080177678,"H2BW3P"
-0.795476731615993,0.000336039807026924,0.00170213907719681,"MCTS2"
-0.838197961204484,0.00444988045008546,0.013306562550632,"SRA1"
-0.385469628263293,0.458019403500585,0.550469245588378,"SNORD19B"
-2.1191734043038,7.19616494814637e-06,7.94388030013776e-05,"UCKL1-AS1"
-0.981424898378787,0.0667182251629905,0.116432307566299,"SNORD12B"
0.470243284024449,0.0614479179665233,0.109072179597915,"TMEM170B"
-0.92306955218443,0.366277535792275,0.461269105097406,"SNORD58C"
-0.271632186839176,0.683434629094611,0.753250271791867,"SCARNA27"
0.00478677721524967,0.986721842810535,0.990760916089557,"HOTAIR"
-1.13651561701892,0.0095939375695428,0.0246878862480676,"ZGLP1"
-0.948923286021068,0.00256720145267778,0.00856932564151798,"FAM86JP"
-0.254762488246125,0.73673023755421,0.797861340241801,"FMR1-AS1"
-2.13390786185457,0.0954078066965209,0.156172935789791,NA
-2.97038990585836,0.00039498578959449,0.00194509849059358,NA
-1.53152697158239,0.0199707053742218,0.044095086517888,NA
-4.3041550299311,5.87639410399667e-05,0.000426351690537905,NA
0.832756397747226,0.315708490991637,0.410030182180215,"LEISA1"
-0.869963500131997,0.00194045159662853,0.00685155220824807,"GHRLOS"
-0.217091529576367,0.485830250469628,0.576197993304423,NA
-0.673350573442322,0.02625751326897,0.0550981659738859,"C8orf88"
-1.47670895716841,0.0943536293801761,0.154796748112652,"WWTR1-AS1"
-0.519325855450242,0.529876358391544,0.617226527118313,"SMARCA5-AS1"
-0.929973922356981,0.0769640041883464,0.131102899291423,"FAM229A"
-0.405611360387063,0.309944087158657,0.404433026191535,"UBE2Q2P13"
-2.42616558922564,0.00383141005702167,0.0118238519428532,"FHL1P1"
-0.418159479469134,0.0566652406484289,0.101938763375301,"TMPO-AS1"
-0.936645125604679,0.0737396266485624,0.126419294217415,"DNM1P35"
-0.445668104564881,0.412440638417001,0.506293041565762,"LOC100128288"
-0.959799766662755,0.021914128608532,0.0475328563316403,"DLG5-AS1"
-1.32172833952869,4.50523322111741e-06,5.47321850897585e-05,NA
-0.446651597918401,0.135497418396341,0.20748058056632,"LOC100128361"
-0.868332998242168,0.474939383328955,0.566139420705136,"LINC00696"
-1.36482158149501,0.0304590828561879,0.0623230498087848,"ZNF606-AS1"
-0.666238528985503,0.310836116612051,0.405153272258265,"LOC100128494"
-0.679435758966757,0.157443916662547,0.234207128327057,"KIAA1671-AS1"
-1.75532132306374,0.0367939872318795,0.0720965087845261,"RANBP3-DT"
0.415959746501813,0.139332343445433,0.212204482164885,"TEKTIP1"
-1.14443455384033,0.148112797021822,0.222890784403102,NA
0.569519228644225,0.186232087829356,0.268645786127618,"CDC42P3"
-0.90350935267889,0.00666040634113812,0.0184115972439814,"ACVR2B-AS1"
-0.558642312358874,0.157356845991074,0.234119364118376,"LOC100128653"
1.0405381244199,0.232954268113029,0.32155554387002,"HPN-AS1"
-0.976286817381297,0.00851695145518201,0.0223897163549938,"OST4"
-1.03788063047751,0.0433561916331126,0.0819097606116568,"LOC100128770"
-0.653266290132055,0.00510377992799253,0.0148890785687523,"ERCC6L2-AS1"
-0.777801593747858,0.0421123334379498,0.0800494269794874,"SRRM2-AS1"
-0.862050483162521,0.00198116707899771,0.00697170187292864,"LINC01003"
-0.748081505804942,0.00251053698646863,0.00841216491247424,"VPS9D1-AS1"
-1.06133680742633,0.0168077715200178,0.0383835746103364,"FAM66B"
-2.3049815808618,0.00520341649252211,0.0151023120054409,"GATA6-AS1"
-1.21393696579679,0.000348977582823847,0.00175859398232682,"ZBTB42"
-1.071715077945,0.000873513491948713,0.00364505800149416,"LOC100129034"
-0.190376378109492,0.597378895887383,0.679552614294588,"KTN1-AS1"
-0.960683906215574,0.0661320873038379,0.115581759050982,"BTNL10P"
-1.33636583600473,0.0331732098445016,0.0664499988238605,"KHDC1L"
-1.11483597249739,0.0312240384136247,0.0635762891527418,"ZSCAN16-AS1"
-1.65517732130146,8.81193739308788e-05,0.0005872277895194,"MATN1-AS1"
-0.44496976249176,0.516313754460595,0.604868199494503,"LOC100129203"
-1.11771971979999,0.0123830684298848,0.0301048799607168,"LOC100129215"
-0.075564713440821,0.896150770487224,0.92338737655837,"DEFB131B"
-1.29077412593242,0.00489294852814777,0.0143889953190241,"SMIM27"
-0.515297189300275,0.0507845506157161,0.0932093204522606,"SMIM10L1"
-0.8424551953719,0.01235625992385,0.0300621674207962,"GABPB1-AS1"
-0.524998619810668,0.0124553864419894,0.0302410255971445,"MSTO2P"
-0.271145158462783,0.698044513952412,0.765823650818988,"RPL19P12"
-0.689288170471907,0.0563076010441095,0.101393801729002,"DPY19L1P1"
-0.720345222647255,0.0288648740969342,0.0596760163531065,"LYRM4-AS1"
0.188557956113745,0.66411509373809,0.737070980341429,"MKRN2OS"
-0.356715775140923,0.159304097806498,0.236299897857927,"ZNF37BP"
-0.646279693366306,0.0554249920290961,0.100108292804457,NA
-0.0991802091441367,0.795830240095132,0.846314848886631,"SOD2-OT1"
-0.371919083331732,0.0970221473991064,0.158395753999911,"LOC100129534"
1.18828756348762,6.88079557819386e-05,0.000482842533631778,"LINC02035"
-1.40829377315197,0.0617968195167789,0.109492001764527,"LOC100129617"
-0.246626903005315,0.570423660972544,0.655373404680066,"TCF24"
-0.347903604735255,0.364167464183171,0.45918762830482,"ARRDC3-AS1"
-0.972167326381077,0.0118458467874789,0.0290657140946085,"LINC01126"
-0.269263942476039,0.401225818869227,0.495920463782046,"SLC25A21-AS1"
-1.79255136997868,0.00264877411912245,0.00878535540007209,"PCOLCE-AS1"
0.900334836360368,0.194087396890654,0.277663538004137,"SCOC-AS1"
-1.10389775744358,0.000452196525309567,0.00216617979384365,"PCGF3-AS1"
-0.595174836587975,0.131340753326006,0.202380024524507,"TMEM269"
-1.43601084035067,0.00550856850379471,0.0157955858076836,"LOC100129931"
-1.04573835504002,0.104209491697848,0.168024584003877,"HMGA2-AS1"
0.300881094737159,0.403795955513261,0.49828486631362,"CCNT2-AS1"
1.07759365885548,0.00108518752914324,0.00433451340663536,"HDAC6"
-1.28347959179096,0.00154043493736921,0.00572769834046331,"URAHP"
1.5784631415838,0.0163914694300095,0.0375728300603015,"HSFX2"
-0.793460697939583,0.000957024397225863,0.00392215404071926,NA
0.14101329067255,0.756838063300081,0.81372043933514,"KIF28P"
-0.949765532059168,0.00192952120410766,0.00682451520027899,"GALNT9-AS1"
-0.574452726591922,0.124747572718198,0.194194074936028,"TFAP2A-AS1"
-0.468238576544833,0.326440391200971,0.421050550976817,"C17orf107"
2.4872031535251,0.000329564504415019,0.00167646719537741,"LOC100130331"
-1.40692423113341,0.0243742160754748,0.0518838596399846,"TMEM262"
-0.623782611739023,0.0418383506503947,0.0796330034578626,"LOC100130357"
