"log2fc","pvalue","fdr","labels"
-1.67903537131976,1.36229566801619e-05,0.000136311288197421,"A1BG"
0.00764711941842622,0.971467958822335,0.980326278865782,"ADA"
0.77589384945475,0.00922429378168823,0.0225801614732257,"CDH2"
0.715414167655581,0.00214504775471353,0.00693130502685427,"AKT3"
-0.259258953374479,0.743286400034539,0.800789411880237,"TRF-GAA2-1"
0.0650963315936361,0.742155343929501,0.800151970573595,"ZBTB11-AS1"
0.806735374007371,0.000499403570673051,0.00214581441494758,"MED6"
0.517804932125272,0.272582267791151,0.362776049370175,"NR2E3"
0.75742379639231,0.0143406501164333,0.0324034196616239,"NAALAD2"
0.0193767374221011,0.953193316822287,0.966685159236174,"PDZK1P1"
-1.43320833771673,1.065508617418e-05,0.000114367334224789,"DDTL"
-1.28273209620167,0.115707024626454,0.180322635781487,"NAALADL1"
-0.568783382059071,0.0906003205828128,0.147005189428144,"CDKN2B-AS1"
0.605769930812363,0.202355782455912,0.284225478936667,"GUSBP17"
-0.701574903964863,0.427968057640056,0.519277457004156,"SIGLEC14"
-2.22050914841254,0.0222947333858224,0.0465135901032541,"TRV-CAC1-5"
-0.585144193631856,0.39130811150969,0.483984821294796,"NINJ2-AS1"
-0.420475780452451,0.0762306278375617,0.127714631612146,"ACOT8"
0.462949921794032,0.00547269779987105,0.0147280734594787,"ABI1"
0.877331670593724,8.09658805413819e-05,0.000513502238566635,"GNPDA1"
1.54947096314277,4.42700174788748e-07,1.36240570396242e-05,"ZBTB33"
-1.89013664586787,1.15072086758075e-06,2.51559948509135e-05,"SNHG8"
1.08429477299494,5.57069662307283e-05,0.000384918059953831,"GTF2IP4"
0.305044737182442,0.147897937666406,0.219810888378834,"CDH3"
-0.308188904898393,0.0946455891327711,0.15235364087383,"TANK"
-1.39071769874247,0.00480611966391288,0.0132791247298438,"FKBP6P1"
-1.49317362796633,3.69578278291384e-05,0.000282197359459046,"POM121C"
-0.64951238043288,0.0878460984690417,0.143668293211454,"PMS2P7"
0.348644830324744,0.0288208787188643,0.0575520480103743,"ZSCAN30"
