"log2fc","pvalue","fdr","labels"
-1.78922235458658,5.88793204322379e-06,3.11582190612223e-05,"A1BG"
-0.0759406560716278,0.721577109261518,0.764524308104054,"ADA"
3.0241436812385,3.13241266048706e-09,1.16366688590032e-07,"CDH2"
-0.244200574426941,0.229093218470894,0.286427530507713,"AKT3"
-2.53981700477568,0.00145394552967609,0.00338570591023275,"TRF-GAA2-1"
-0.386485873498597,0.0572513058744394,0.0846288356952898,"ZBTB11-AS1"
0.368121490939481,0.0631037114761519,0.0921609235112699,"MED6"
0.189271964390687,0.671020064267524,0.720523668854275,"NR2E3"
-0.199405566136119,0.447221134363158,0.511074850724683,"NAALAD2"
0.0340391937417583,0.917102618649761,0.931567607275928,"PDZK1P1"
-1.57050833059716,3.38576552383513e-06,1.97532595094684e-05,"DDTL"
-1.74890438099267,0.0311865803388079,0.0494667326028258,"NAALADL1"
-1.39515279356668,0.000257825172331014,0.000761693920382803,"CDKN2B-AS1"
0.0656895949858757,0.879714292347757,0.900388684810737,"GUSBP17"
-1.16353595136617,0.175398283644928,0.226390417952286,"SIGLEC14"
-4.29300148368091,5.18588030597194e-05,0.000192009952283267,"TRV-CAC1-5"
-1.09521708341765,0.10300360087758,0.141874489070027,"NINJ2-AS1"
-0.668214338934744,0.00768900601153409,0.0145032930309158,"ACOT8"
0.120550339850197,0.413721089707761,0.477634812868594,"ABI1"
0.729069438252978,0.000485705893726931,0.00131114651357262,"GNPDA1"
0.780182488950671,0.000852210079138897,0.00213253255054896,"ZBTB33"
-3.05163562810471,1.03853240003847e-09,6.07814752022513e-08,"SNHG8"
1.33162496030358,5.40802235156409e-06,2.90892656640081e-05,"GTF2IP4"
2.27908255586197,2.96147126189176e-08,5.14555631753693e-07,"CDH3"
-1.41263105913886,2.25656819137503e-07,2.27017837347018e-06,"TANK"
-0.8919801005536,0.0587615171551634,0.0865926412358092,"FKBP6P1"
-0.733622820793451,0.0135100454626946,0.0235571355130406,"POM121C"
-1.07962013842691,0.00621680156187767,0.0120262626887268,"PMS2P7"
-0.0155687779076601,0.915185515024907,0.930016716864594,"ZSCAN30"
-1.27120817983947,0.00532984705892039,0.0104998050009203,"H2BW3P"
-0.555535843253849,0.00607048715938667,0.0117684479101081,"MCTS2"
