"log2fc","pvalue","fdr","labels"
-0.926918631233055,0.00094369469587732,0.00298410515093091,"A1BG"
-0.027892764415367,0.894105756018389,0.919432479933647,"ADA"
-0.116819735788644,0.659805596855741,0.72963567029743,"CDH2"
-0.151006847566788,0.450041420681666,0.533600433392819,"AKT3"
-1.42032736501478,0.0187728686251175,0.0365040159322638,"TRF-GAA2-1"
-0.174511314426178,0.351521363633686,0.434836431508191,"ZBTB11-AS1"
-0.926104046020926,0.000154999716216931,0.000692392947642851,"MED6"
-0.525702004022177,0.270718536470486,0.350018230240113,"NR2E3"
-1.5160377964263,6.86475563495176e-05,0.000362814081086804,"NAALAD2"
-0.130265212581856,0.68646962715525,0.752963331423,"PDZK1P1"
-1.00503252440806,0.000273947873805034,0.00108770543562675,"DDTL"
0.196905250836065,0.726032140777423,0.786377669361521,"NAALADL1"
-0.367564869604945,0.170258899645451,0.237729653949951,"CDKN2B-AS1"
0.671094492455106,0.100173681369756,0.151665335867071,"GUSBP17"
-0.0722346351276026,0.916387926552957,0.936659759476887,"SIGLEC14"
-1.29666220295675,0.0292743789462892,0.0533540909991372,"TRV-CAC1-5"
-1.76850460300887,0.0169094518076045,0.0334340512269847,"NINJ2-AS1"
0.138248506518233,0.517383365025828,0.598015004409314,"ACOT8"
-0.500182969519499,0.00317985885569949,0.00818014276882594,"ABI1"
0.87123883240488,8.38050787545023e-05,0.000422189282278797,"GNPDA1"
-0.78759721407878,0.000799928123073985,0.00261213803697613,"ZBTB33"
-1.75634251210287,3.56992573118899e-07,8.77845303037165e-06,"SNHG8"
0.270437495166382,0.196864735325173,0.268649577454298,"GTF2IP4"
1.31581102404496,4.30745927148267e-05,0.000251728919012917,"CDH3"
-1.22602028605496,9.22624873474934e-07,1.62207911354299e-05,"TANK"
0.593286097361594,0.108561052358272,0.162272457508377,"FKBP6P1"
-0.414792957535799,0.136465177671863,0.19728195212053,"POM121C"
-0.411503103468702,0.18619616055538,0.256461763671654,"PMS2P7"
-0.351246349650704,0.0267110029795188,0.0492689958750828,"ZSCAN30"
-0.0504548455476365,0.876343950493803,0.905832378647619,"H2BW3P"
0.239940888362144,0.17488116566298,0.243105079028128,"MCTS2"
-0.37046923759358,0.146743827879162,0.209957715648003,"SRA1"
-0.324418773962997,0.475793911534536,0.558143501258602,"SNORD19B"
0.62362480250664,0.0209711536597117,0.0401467741356583,"UCKL1-AS1"
-0.818601399709048,0.0531014596619955,0.0886796502965644,"SNORD12B"
-0.680741909524152,0.00953724121403613,0.020641129291569,"TMEM170B"
-2.61150763637986,0.00202601976845805,0.00563587966462323,"SNORD58C"
-1.80642315481447,0.00331035963189943,0.00845327597368073,"SCARNA27"
-1.34152283770393,7.01364594901835e-05,0.000369395688126385,"HOTAIR"
-0.019602008436268,0.950772022764176,0.961901943331501,"ZGLP1"
-0.17453786639642,0.446141382265181,0.5299934660055,"FAM86JP"
-0.82903128039534,0.214382448483581,0.288448757014288,"FMR1-AS1"
0.61019785841645,0.563622974571054,0.642204468600668,NA
0.0643082312039742,0.880910411523956,0.9093690843062,NA
0.249151985762139,0.607801848631659,0.683116692620178,NA
0.968227459488149,0.0562868466508793,0.0930951514265411,NA
-1.44369366653158,0.0679850588132409,0.109361568746696,"LEISA1"
0.447711922797381,0.0569674262108662,0.0941088114486727,"GHRLOS"
0.408970371538787,0.184635336112309,0.254669429120426,NA
-1.27675544124027,2.70199762495891e-05,0.000176327544539572,"C8orf88"
-0.654031374414506,0.312927658334476,0.394530108920563,"WWTR1-AS1"
-2.18961435959604,0.00279855947202458,0.00734988414974106,"SMARCA5-AS1"
-0.249570711533142,0.54226672732857,0.622291641681496,"FAM229A"
-0.853046591731362,0.0173419952605114,0.0341597166917017,"UBE2Q2P13"
-1.3128163125011,0.0101590864234722,0.0217387506790913,"FHL1P1"
-1.01455414623767,3.05850109460163e-05,0.000193608342534934,"TMPO-AS1"
-0.583177436623384,0.153273272795838,0.217731067129499,"DNM1P35"
-1.30476115133646,0.00710525889460528,0.0160633936516693,"LOC100128288"
